ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size;Set
462809;Male;No;22;No;Healthcare;1.0;Low;4.0;Train
462643;Female;Yes;38;Yes;Engineer;;Average;3.0;Train
466315;Female;Yes;67;Yes;Engineer;1.0;Low;1.0;Train
461735;Male;Yes;67;Yes;Lawyer;0.0;High;2.0;Train
462669;Female;Yes;40;Yes;Entertainment;;High;6.0;Train
461319;Male;Yes;56;No;Artist;0.0;Average;2.0;Train
460156;Male;No;32;Yes;Healthcare;1.0;Low;3.0;Train
464347;Female;No;33;Yes;Healthcare;1.0;Low;3.0;Train
465015;Female;Yes;61;Yes;Engineer;0.0;Low;3.0;Train
465176;Female;Yes;55;Yes;Artist;1.0;Average;4.0;Train
464041;Female;No;26;Yes;Engineer;1.0;Low;3.0;Train
464942;Male;No;19;No;Healthcare;4.0;Low;4.0;Train
461230;Female;No;19;No;Executive;0.0;Low;;Train
459573;Male;Yes;70;No;Lawyer;;Low;1.0;Train
460849;Female;Yes;58;No;Doctor;0.0;Low;1.0;Train
460563;Female;No;41;No;Healthcare;1.0;Low;2.0;Train
466865;Female;No;32;No;Homemaker;9.0;Low;5.0;Train
461644;Male;No;31;No;Healthcare;1.0;Low;6.0;Train
466772;Male;Yes;58;Yes;Entertainment;1.0;Average;4.0;Train
464291;Female;Yes;79;Yes;Artist;0.0;High;1.0;Train
466084;Male;Yes;49;Yes;Homemaker;12.0;Low;1.0;Train
459675;Female;No;18;No;Healthcare;3.0;Low;4.0;Train
465602;Male;Yes;33;Yes;Artist;13.0;Low;2.0;Train
459168;Female;No;36;Yes;Artist;5.0;Low;2.0;Train
461021;Female;;58;No;Executive;1.0;Average;3.0;Train
465083;Male;Yes;56;No;Artist;1.0;Average;3.0;Train
467604;Male;No;31;No;Healthcare;9.0;Low;8.0;Train
459717;Male;Yes;49;Yes;Artist;1.0;Average;3.0;Train
465882;Male;No;35;Yes;Artist;0.0;Low;1.0;Train
461996;Female;No;35;No;Artist;5.0;Low;4.0;Train
463331;Female;Yes;45;Yes;Artist;0.0;Low;3.0;Train
462216;Female;Yes;42;No;Doctor;1.0;Low;2.0;Train
462454;Male;No;19;No;Healthcare;1.0;Low;3.0;Train
467010;Male;No;26;No;Homemaker;9.0;Low;;Train
459861;Female;Yes;83;No;Lawyer;1.0;High;2.0;Train
467917;Female;No;27;Yes;Healthcare;3.0;Low;4.0;Train
465572;Male;No;32;No;Doctor;5.0;Low;1.0;Train
460593;Female;Yes;28;No;Healthcare;1.0;Average;5.0;Train
465891;Female;Yes;28;Yes;Artist;8.0;Low;2.0;Train
467442;Male;Yes;56;Yes;Artist;;Average;2.0;Train
462044;Female;No;47;Yes;Artist;4.0;Low;1.0;Train
465686;Female;No;22;No;Healthcare;0.0;Low;2.0;Train
464590;Female;No;27;Yes;Artist;14.0;Low;3.0;Train
466006;Female;Yes;49;Yes;Artist;1.0;Low;2.0;Train
466152;Male;Yes;40;No;Engineer;8.0;Low;1.0;Train
463156;Female;Yes;79;No;Lawyer;;High;2.0;Train
465729;Male;Yes;41;Yes;Artist;0.0;Average;4.0;Train
462384;Female;No;29;Yes;Healthcare;;Low;1.0;Train
462442;Male;No;19;No;Healthcare;0.0;Low;4.0;Train
464191;Female;No;45;Yes;Engineer;1.0;Low;1.0;Train
462078;Female;Yes;61;No;Artist;1.0;Average;2.0;Train
467873;Female;Yes;36;Yes;Artist;1.0;Average;2.0;Train
461270;Male;Yes;40;Yes;Artist;1.0;Low;1.0;Train
462960;Female;Yes;57;Yes;Entertainment;0.0;Average;2.0;Train
464961;Male;Yes;76;No;Marketing;1.0;Low;1.0;Train
462110;Male;Yes;32;Yes;Artist;14.0;Average;2.0;Train
465769;Male;No;25;Yes;Healthcare;9.0;Low;4.0;Train
462267;Male;No;32;;Doctor;8.0;Low;2.0;Train
465269;Female;Yes;45;Yes;Artist;1.0;Average;3.0;Train
460881;Male;Yes;72;Yes;Lawyer;1.0;Low;;Train
461891;Male;Yes;48;Yes;Artist;0.0;Average;2.0;Train
466935;Male;Yes;55;Yes;Artist;9.0;Average;2.0;Train
464091;Male;Yes;74;Yes;Lawyer;0.0;High;3.0;Train
