Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Yield to Maturity,Option Adjusted Spread,Amount Outstanding,Parent Domicile,Sector,Rating,Actual,Outlook,Watch,Scope
Telecom Argentina SA,TECOBT,7.2500,30/06/2002,30/06/1999,XS0099123712,Euro,Eurobond,Corporate,Bond,Plain Vanilla Fixed Coupon,"267,726,148",High Yield,--,--,"250,000,000",,Telecommunications,B-,Actual,Rating Outlook Stable,,Foreign
Telecom Argentina SA,TECOBT,12.5000,1/03/2003,1/03/2000,US12686NAD75,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"100,000,000",High Yield,--,--,"100,000,000",,Telecommunications,B-,Actual,Rating Outlook Stable,,Foreign
Telecom Argentina SA,TECOBT,12.5000,1/03/2003,1/03/2000,USP19157AB50,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"100,000,000",High Yield,--,--,"100,000,000",,Telecommunications,B-,Actual,Rating Outlook Stable,,Foreign
Telecom Argentina SA,TECOBT,7.6250,6/04/2003,6/04/2000,XS0109260686,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"268,398,733",High Yield,--,--,"250,000,000",,Telecommunications,B-,Actual,Rating Outlook Stable,,Foreign
Banco Hipotecario SA,BHIP,10.0000,16/04/2003,16/04/1998,US05959FAA49,US Dollar,Eurobond,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"300,000,000",High Yield,--,--,"300,000,000",Argentina,Banking,WD,Actual,,,Foreign
CESP Companhia Energetica de Sao Paulo,AURECA,10.5000,4/03/2004,4/03/2001,US12517GAA31,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"300,000,000",High Yield,--,--,"300,000,000",Brazil,Utility - Other,BB,Actual,Rating Outlook Stable,,Foreign
Bank of America Corp,BAC,6.2500,30/04/2004,30/04/1979,US760836AB22,US Dollar,United States,Corporate,Note,Fixed then Floating,"75,000,000",High Yield,--,--,"75,000,000",United States,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Banco Hipotecario SA,BHIP,8.0000,14/06/2005,14/03/2002,XS0144974044,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"175,069,654",High Yield,--,--,"164,000,000",Argentina,Banking,WD,Actual,,,Foreign
EDF Energy Nuclear Generation Group Ltd,EDFYN,6.0770,24/03/2006,10/06/1999,XS0098580755,British Pound,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"199,826,391",High Yield,--,--,"163,444,000",France,Utility - Other,WD,Actual,,,Foreign
Globo Comunicacoes e Participacoes SA,ORGGPC,10.5000,19/12/2006,19/12/1996,USP47773AB55,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"250,000,000",High Yield,--,--,"250,000,000",Brazil,Cable/Media,BB,Actual,Rating Outlook Stable,,Foreign
Telecom Argentina SA,TECOBT,8.8750,29/05/2007,29/05/1997,XS0076689024,Italian Lira,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"221,786,203",High Yield,--,--,"400,000,000,000",,Telecommunications,B-,Actual,Rating Outlook Stable,,Foreign
Telecom Argentina SA,TECOBT,3.9892,17/03/2008,17/03/1998,XS0084707313,Italian Lira,Eurobond,Corporate,Note,Fixed then Floating,"221,786,203",High Yield,--,--,"400,000,000,000",,Telecommunications,B-,Actual,Rating Outlook Stable,,Foreign
Lehman Brothers Holdings PLC,LEHRG,3.0300,23/03/2009,23/02/1997,XS0073472606,Japanese Yen,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"6,880,891",Investment Grade,--,--,"1,000,000,000",United Kingdom,Financial - Other,WD,Actual,,,Foreign
Resolute FP US Inc,RFPRS,9.0000,31/07/2009,8/08/1989,US102183AC41,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"300,000,000",High Yield,--,--,"250,000,000",Canada,Conglomerate/Diversified Mfg,WD,Actual,,,Foreign
Resolute FP US Inc,RFPRS,4.3200,14/03/2010,16/03/2004,US102183AL40,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"250,000,000",High Yield,--,--,"234,400,000",Canada,Conglomerate/Diversified Mfg,WD,Actual,,,Foreign
Lyondell Chemical Co,LYBLC,10.2500,31/10/2010,6/11/1990,US001920AD91,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"100,000,000",High Yield,--,--,"99,910,000",United Kingdom,Chemicals,WD,Actual,,,Foreign
Glitnir HoldCo ehf,GLIRH,2.0063,6/03/2011,12/02/2006,US46458EAC30,US Dollar,United States,Corporate,Bank Note,Fixed Margin over Index,"250,000,000",Investment Grade,--,--,"250,000,000",Iceland,Banking,WD,Actual,,,Foreign
