Fecha;Cierre
11/20/2017; $67,88 
11/27/2017; $69,68 
12/4/2017; $69,28 
12/11/2017; $68,72 
12/18/2017; $71,97 
12/26/2017; $72,26 
1/2/2018; $74,97 
1/8/2018; $77,42 
1/16/2018; $76,38 
1/22/2018; $77,51 
1/29/2018; $72,46 
2/5/2018; $66,67 
2/12/2018; $68,12 
2/20/2018; $68,80 
2/26/2018; $66,95 
3/5/2018; $68,45 
3/12/2018; $67,31 
3/19/2018; $66,77 
3/26/2018; $67,41 
4/2/2018; $67,35 
4/9/2018; $71,41 
4/16/2018; $73,30 
4/23/2018; $73,82 
4/30/2018; $73,85 
5/7/2018; $76,73 
5/14/2018; $78,11 
5/21/2018; $74,58 
5/29/2018; $76,38 
6/4/2018; $76,90 
6/11/2018; $74,17 
6/18/2018; $75,15 
6/25/2018; $75,94 
7/2/2018; $75,67 
7/9/2018; $76,26 
7/16/2018; $74,89 
7/23/2018; $76,63 
7/30/2018; $75,24 
8/6/2018; $75,29 
8/13/2018; $72,61 
8/20/2018; $74,54 
8/27/2018; $74,44 
9/4/2018; $72,80 
9/10/2018; $74,26 
9/17/2018; $75,10 
9/24/2018; $75,74 
10/1/2018; $77,16 
10/8/2018; $73,00 
10/15/2018; $71,53 
10/22/2018; $66,48 
10/29/2018; $67,56 
11/5/2018; $68,50 
11/12/2018; $67,18 
11/19/2018; $63,91 
11/26/2018; $66,11 
12/3/2018; $64,07 
12/10/2018; $62,09 
12/17/2018; $56,11 
12/24/2018; $57,05 
12/31/2018; $59,87 
1/7/2019; $62,01 
1/14/2019; $63,84 
1/22/2019; $62,93 
1/28/2019; $64,89 
2/4/2019; $62,94 
2/11/2019; $66,12 
2/19/2019; $65,76 
2/25/2019; $66,45 
3/4/2019; $63,90 
3/11/2019; $65,51 
3/18/2019; $65,47 
3/25/2019; $66,12 
4/1/2019; $67,61 
4/8/2019; $67,56 
4/15/2019; $67,19 
4/22/2019; $66,22 
4/29/2019; $64,25 
5/6/2019; $64,05 
5/13/2019; $63,75 
5/20/2019; $61,62 
5/28/2019; $58,77 
6/3/2019; $61,27 
6/10/2019; $61,01 
6/17/2019; $63,56 
6/24/2019; $63,71 
7/1/2019; $63,09 
7/8/2019; $64,44 
7/15/2019; $62,76 
7/22/2019; $62,45 
7/29/2019; $60,40 
8/5/2019; $59,10 
8/12/2019; $57,02 
8/19/2019; $55,96 
8/26/2019; $57,48 
9/3/2019; $59,03 
9/9/2019; $61,08 
9/16/2019; $61,28 
9/23/2019; $59,63 
9/30/2019; $57,38 
10/7/2019; $57,89 
10/14/2019; $57,03 
10/21/2019; $59,52 
10/28/2019; $59,28 
11/4/2019; $60,69 
11/11/2019; $60,08 
11/18/2019; $59,83 
11/25/2019; $58,89 
12/2/2019; $59,72 
12/9/2019; $60,31 
12/16/2019; $61,36 
